year,gross_income_€,single_males,single_males_total_gross_income_€m,single_females,single_females_total_gross_income_€m,married_couples_both_earning,married_couples_both_earning_total_gross_income_€m,married_couples_one_earning,married_couples_one_earning_total_gross_income_€m,widowers,widowers_total_gross_income_€m,widows,widows_total_gross_income_€m,all_taxpayers,all_taxpayers_total_gross_income_€m
2020,"100,000 - 150,000","12,597","1,495.71","7,743",915.66,"35,400","4,224.25","15,996","1,919.28",707,83.77,736,87.06,"73,179","8,725.72"
2020,"150,000 - 200,000","3,268",556.85,"1,919",327.63,"10,848","1,858.21","5,750",984.9,220,37.36,215,36.85,"22,220","3,801.81"
2020,"200,000 - 275,000","1,611",372.66,"1,074",247.35,"6,494","1,506.97","3,941",917.63,121,28.17,124,28.61,"13,365","3,101.39"
2020,"Over 275,000","1,566",815.25,801,371.47,"6,670","3,258.23","5,266","3,215.50",152,87.42,120,66.93,"14,575","7,814.79"
2019,"0 - 10,000",214638,988.04,201320,923.05,82609,452.15,76297,379.19,1492,7.85,3366,17.52,579722,2767.79
2019,"10,000 - 12,000",52164,579.45,53663,596.4,36268,402.35,55448,616.13,1372,15.18,3454,38.27,202369,2247.78
2019,"12,000 - 15,000",73010,980.21,81153,1089.77,61296,826.36,78841,1040.94,5963,81.08,20587,281.04,320850,4299.4
2019,"15,000 - 17,000",35392,565.81,36200,578.84,36528,584.39,20422,326.49,2229,35.57,6626,105.68,137397,2196.78
2019,"17,000 - 20,000",50886,942.35,51534,953.33,54436,1007.6,31221,577.58,2751,50.7,7848,144.94,198676,3676.49
2019,"20,000 - 25,000",87082,1961.84,83280,1874.11,92927,2094.65,55973,1270.9,3628,81.17,11764,264.13,334654,7546.8
2019,"25,000 - 27,000",34002,883.51,29017,753.67,39684,1031.96,22786,591.53,1301,33.82,3938,102.33,130728,3396.82
2019,"27,000 - 30,000",47682,1358.17,37396,1064.34,56430,1608.92,31220,889.57,1784,50.91,5045,143.57,179557,5115.49
2019,"30,000 - 35,000",69691,2259.18,51781,1680.01,91859,2983.79,48746,1581.77,2543,82.64,6326,204.79,270946,8792.18
2019,"35,000 - 40,000",55425,2070.31,48121,1799.42,85715,3205.97,44328,1658.76,2169,81.12,4640,173.33,240398,8988.9
2019,"40,000 - 50,000",65392,2907.12,57474,2555.93,124321,5550.99,63301,2823.7,3611,161.65,6422,286.38,320521,14285.78
