id,locationId,name,status,addressstreet,addresscity,addressstate,addresszip,addresscountryId,addresscountry,addressregionId,addressregion,gpslatitude,gpslongitude,dateOpened,stallCount,counted,elevationMeters,powerKilowatt,solarCanopy,battery,statusDays,urlDiscuss,hours
2398,nottinghamloughborough,"Nottingham (SC), UK",OPEN,29 Loughborough Rd,West Bridgford,,NG2 7LG,108,United Kingdom,101,Europe,52.9361,-1.1343,2021-03-19,8,true,25,250,false,false,0,true,
4112,LexingtonKYSupercharger22,"Lexington - Meijer Way, KY",PERMIT,351 Meijer Way,Lexington,KY,40503,100,USA,100,North America,37.995554,-84.532683,,12,true,312,250,false,false,25,true,
4113,,"Chehalis, WA",PERMIT,700 NW Arkansas Way,Chehalis,WA,98532,100,USA,100,North America,46.679783,-122.977105,,8,true,52,250,false,false,25,true,
4120,lasvegas3250,"Las Vegas - E Sahara Ave (SC), NV",CONSTRUCTION,3250 E Sahara Ave,Las Vegas,NV,89104,100,USA,100,North America,36.145327,-115.102898,,9,true,557,250,false,false,18,true,
4122,,"Boone, NC",PERMIT,Queen St,Boone,NC,28607,100,USA,100,North America,36.21973,-81.683797,,12,true,994,250,false,false,18,true,
1447,gyorsupercharger,"Györ, Hungary",OPEN,Győrújbarát,Györ,,9081,126,Hungary,101,Europe,47.633274,17.660977,2017-12-19,10,true,115,250,false,false,0,true,
4132,,"Rimini, Italy",CONSTRUCTION,"via Caduti di Nassiriya, centro commerciale “Le Befane”, Rimini",Rimini,,47924,113,Italy,101,Europe,44.040563,12.589111,,8,true,6,250,false,false,15,true,
4057,Stromstadsesupercharger,"Strömstad, Sweden",OPEN,Lilla Oslovägen,Strömstad,,452 35,109,Sweden,101,Europe,58.945931,11.192941,2022-03-29,20,true,5,250,false,false,0,true,
4131,ThomasvilleNCSupercharger,"Thomasville, NC",PERMIT,1810 Liberty Dr,Thomasville,NC,27360,100,USA,100,North America,35.855555555555554,-80.072156,,8,true,266,250,false,false,16,true,
3696,cnsc9413,"Zhoushan – Zhou Nanyuan Maritime Hotel, China",OPEN,"No.666 Jiari Road, Nansha, Zhujiajian",Zhoushan,Zhejiang,,115,China,102,Asia Pacific,29.8858,122.4091,2021-04-24,6,true,12,250,false,false,0,false,
